Link,Date,Description,Views,Likes,Comments,Shares,Saves,Engagements,ER
https://www.tiktok.com/@primevideoes/video/7480180297837939990,,,110500.0,9491.0,25.0,41.0,280.0,9837.0,8.9%
https://www.tiktok.com/@primevideoes/video/7478741713926901014,,,428200.0,70600.0,427.0,5689.0,4788.0,81504.0,19.03%
https://www.tiktok.com/@primevideoes/photo/7475374019529805078,2-25,"Por fin os lo podemos contar: empieza la producción de #Marfil #Marfil y #Ébano #Ébano , la adaptación de la bilogía #Enfrentados #Enfrentados de Mercedes Ron, que llegará a Prime Video protagonizada por Ester Exposito y Hugo Diego Garcia",1300000.0,133900.0,1209.0,25700.0,8266.0,169075.0,13.01%
https://www.tiktok.com/@primevideoes/video/7480577498338577686,,,88600.0,19200.0,46.0,1939.0,920.0,22105.0,24.95%
https://www.tiktok.com/@primevideoes/video/7480476087361785110,,,55700.0,5812.0,10.0,486.0,222.0,6530.0,11.72%
https://www.tiktok.com/@primevideoes/video/7480475756561206550,,,2194.0,167.0,2.0,1.0,1.0,171.0,7.79%
https://www.tiktok.com/@primevideoes/video/7480227044391980310,,,12300.0,1591.0,7.0,17.0,48.0,1663.0,13.52%
https://www.tiktok.com/@primevideoes/video/7480196809151843606,,,106100.0,9680.0,36.0,701.0,686.0,11103.0,10.46%
https://www.tiktok.com/@primevideoes/video/7480130102035025174,,,9488.0,460.0,5.0,5.0,24.0,494.0,5.21%
https://www.tiktok.com/@primevideoes/video/7479001012326419734,,,13300.0,700.0,13.0,5.0,32.0,750.0,5.64%
